No;#Exits;#Person;detRad;#iter;~dist;avgDist;minDist;maxDist
1;3;100;50;5;15;52,13;10,22;126,51
2;3;100;50;5;30;35,23;3,33;115,85
3;3;100;50;5;35;38,65;3,24;121,78
4;3;100;50;10;15;52,87;10,56;126,47
5;3;100;50;10;30;34,44;4,69;105,88
6;3;100;50;10;35;28,18;1,84;109,89
7;3;100;50;20;15;52,49;10,96;126,95
8;3;100;50;20;30;33,75;4,44;90,54
9;3;100;50;20;35;22,95;1,81;82,22
10;3;100;50;30;15;52,82;10,91;126,36
11;3;100;50;30;30;33,21;4,45;80,27
12;3;100;50;30;35;20,1;1,17;66,19
No;#Exits;#Person;detRad;#iter;~dist;avgDist;minDist;maxDist
13;3;150;30;20;15;41,15;2,57;88,11
14;3;150;30;20;17;35,55;4,45;72,51
15;3;150;30;20;19;27,51;4,23;52,65
16;3;150;30;20;20;23,46;2,37;58,46
No;#Exits;#Person;detRad;#iter;~dist;avgDist;minDist;maxDist
17;3;200;25;20;15;21,56;1,25;62,25
18;3;200;25;20;17;14,59;1,64;36,32
19;3;200;25;20;19;22,14;2,31;66,81
No;#Exits;#Person;detRad;#iter;~dist;avgDist;minDist;maxDist
20;6;200;25;20;15;21,72;0,65;48,62
21;6;200;25;20;17;12,78;1,14;35,02
22;6;200;25;20;19;10,17;0,76;57,57
No;#Exits;#Person;detRad;#iter;~dist;avgDist;minDist;maxDist
23;9;200;25;20;15;18,35;1,64;42,25
24;9;200;25;20;17;11,08;0,78;28,35
25;9;200;25;20;19;18,03;1,25;41,47
